Driver,LapNumber,TrackStatus,SafetyCar,VSC,YellowFlag,RedFlag,RecentSC,Race,Year
NOR,11.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,12.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,13.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,14.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,15.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,16.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,17.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,18.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,19.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,20.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,21.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,22.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,23.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,24.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,25.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,26.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,27.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,28.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,29.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,30.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,31.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,32.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,33.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,34.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,35.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,36.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,37.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,38.0,12,0,0,1,0,0,Abu Dhabi Grand Prix,2022
NOR,39.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,40.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,41.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,42.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,43.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,44.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,45.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,46.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,47.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,48.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,49.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,50.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,51.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,52.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,53.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,54.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,55.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,56.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,57.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,58.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,1.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,2.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,3.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,4.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,5.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,6.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,7.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,8.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,9.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,10.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,11.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,12.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,13.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,14.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,15.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
OCO,16.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
